value1 value2 value3 value4 value5
1048.91 2895.36 1978.34 289.433 282.741
938.239 2240.04 3281.32 763.388 309.101
1070.91 2953.82 1829.86 307.899  303.14
1178.5 3176.65 1267.69 337.245 336.394
1088.48 2927.55 1904.15 339.787 334.482
795.819 1566.23 2049.18 3051.21 1734.18
1016.66 2737.33 2803.99 311.048 292.315
828.125 1637.79 2157.19 3258.35 1735.33
801.885 1579.33 2063.77 3091.63 1733.06
1098.51 3003.93 1687.96 311.401 308.229
995.225 2556.06 3231.45 378.778 313.628
1154.66 3122.38 1389.81 335.111 333.837
899.748 2031.68 3297.35 1704.89 304.599
1144.14 3101.33 1459.67 331.377 329.808
915.379 2126.09 3308.83 1185.35 304.996
1091.43 3024.18 1629.29 293.966 291.174
858.331 1796.38 2580.24 3254.66 554.826
903.799 2118.33 3308.99  1205.1 284.951
 900.18 1956.16 3182.28 2622.09 344.432
823.186  1615.8 2116.03 3221.98 1730.89
1000.24 2654.47 3105.03 321.765 288.312
1170.71 3175.62 1260.78 330.901  330.02
828.04 1636.67 2163.53 3276.74 1730.26
999.452 2686.34 3019.69 315.387 287.177
834.03 1623.55 2123.42 3200.61 1743.28
977.082 2385.47 3258.84 515.801 334.221
822.701 1602.49 2092.36 3156.51  1742.4
881.127 1912.36  3068.5 3119.94 354.066
820.379 1602.41 2093.87 3158.13  1737.8
941.579 2277.77 3270.04 655.949 300.887
1014.55 2639.74 3123.12 353.179 318.953
1029.63  2795.8 2568.23 310.695 295.953
1125.04  3105.2 1427.07 296.515 294.978
1067.94 2878.71 2090.09 338.421 329.867
1001.42 2673.44 3039.73 314.002 286.383
831.218 1625.78 2135.02 3230.41 1738.38
845.312 1655.96 2197.66 3286.88 1735.55
991.733 2597.39 3197.63 347.243 295.949
1079.27  2919.4 1916.46 333.662 328.094
899.036 1920.32  3090.2  3120.5 377.437
991.584 2475.86 3254.89 431.406 330.503
968.484 2431.45 3264.64 446.143 307.919
970.824 2429.69 3259.52 448.378 315.925
816.047 1619.22 2132.92 3243.44 1728.64
1138.98 3156.73 1306.81 287.947 286.811
804.36 1567.73 2047.78 3048.49 1733.93
830.139 1651.64 2201.76 3294.14 1720.96
817.481 1631.32 2152.15 3262.31 1729.88
1101.54 2983.74 1753.55 330.982 327.316
908.941 2131.38 3303.07 1139.22 286.173
1103.32    3025 1634.22 310.287 307.553
1135.15 3143.62 1317.26 290.253 289.124
878.3 1840.48 2789.31 3248.43 487.147
1103.62 3020.13 1661.49 321.134 318.178
1099.01 3060.36 1532.82 292.183 289.972
821.882 1608.59 2103.24 3188.43 1733.84
1032.54 2789.91 2582.77 318.818 303.461
994.678 2539.23 3230.55 388.282 320.114
844.532  1660.3  2219.7 3290.43 1732.48
802.962 1578.73 2063.49 3092.05 1733.39
923.221 2095.05 3313.41 1409.38 320.819
979.537 2496.64 3247.15 402.706 312.564
1007.13 2602.58 3192.23 371.895 323.823
1086.36 2951.75 1835.67 326.622 322.034
984.431 2620.03  3163.6 328.114 284.955
1019.15 2748.09 2790.82 315.746 297.727
979.496 2489.06 3250.43 401.741 309.031
1128.87 3095.12 1455.57 313.026 311.405
821.507 1641.92 2178.84    3288 1723.06
994.697 2643.18 3126.18 330.847 292.169
1085.23 3002.66 1683.54  297.48 294.231
799.624 1561.55 2042.26 3026.53 1732.94
825.062 1628.95 2140.98 3253.65 1730.82
810.56 1611.33 2115.58  3208.4 1729.86
1009.53 2636.71 3147.28 349.852 308.914
815.849 1573.21 2052.14  3045.2 1742.69
912.962 2123.46 3310.71 1151.78 302.157
811.42 1583.29 2066.73 3093.24 1741.32
1176.45 3186.83 1244.14 327.798 326.981
1134.09 3099.55 1452.83 317.803 316.225
1067.84 2855.07 2172.13 336.573 328.052
1092.14 2977.87 1746.41 320.012 316.387
1137.83 3089.94 1469.75 333.956 332.332
974.801 2529.09 3234.06 366.191 292.953
940.119 2239.39 3278.92 772.986 311.561
1116 3074.31 1498.32 304.066 302.188
1048.89 2868.17 2100.88 309.295 300.137
1028.7 2779.91 2619.66 309.955 294.146
838.702  1660.9  2220.7 3291.91 1730.36
1142.16 3093.53 1474.63 337.092 335.453
805.217 1591.78  2082.3 3142.97 1730.45
1160.69  3151.6 1325.77 332.306 331.245
941.21 2279.77 3270.06  659.78 303.643
1174.66 3194.71 1216.81 316.207 315.436
1088.7 2961.93 1806.35 323.497 319.232
884.075 1895.84 2966.12 3150.42 370.181
948.187  2320.9 3265.83 567.977  299.68
1181.15 3206.85 1175.78 322.413 321.759
1075.6 2905.02  1971.7 329.303 323.078
1063.65  2880.7 2062.85 331.102 323.513
