value1 value2
281.434 234.017
310.63 212.692
303.361 233.448
338.355 247.564
337.17 233.124
284.017 192.286
291.615 226.895
306.545 200.764
289.91 193.631
308.766 238.458
315.257 220.622
335.827 244.285
301.44 208.532
331.596 243.431
305.094 210.264
290.62 239.093
297.278 205.033
280.696 211.595
328.993  207.02
314.255 197.433
287.115 225.531
331.633 246.319
305.458 201.206
285.9  224.35
338.852  196.99
339.476 214.713
327.456 194.658
298.025 208.602
319.832 195.229
300.969  214.38
321.009  222.93
295.607   228.4
294.695 244.666
332.356  229.65
285.019 225.337
325.98 198.294
336.675 202.098
295.506 222.044
330.305 231.826
335.257 207.587
334.679 218.007
308.994 216.892
318.153 215.881
288.313 199.442
286.116 247.861
306.238 191.246
296.252 204.104
280.476 201.824
329.272 236.235
282.362 212.058
308.033 239.694
288.548 246.556
321.532  206.34
319.388 237.211
289.371 240.087
318.707   196.1
303.761 227.721
322.594 219.009
326.863 203.722
292.665 193.511
324.092 210.446
314.171 217.456
326.583 220.296
323.645 234.481
283.335 221.698
297.521 226.033
310.187 218.612
312.068 242.796
284.267 202.945
291.359 223.179
293.858 237.739
298.866 190.795
307.211 199.603
282.794 198.566
309.855 224.019
333.749 190.379
301.718 209.557
312.616 192.947
328.409 248.208
317.181 243.294
330.424 230.451
317.523 236.182
334.337 240.984
292.107 219.989
313.566 213.111
302.317  241.73
300.148 230.961
293.64  228.89
311.612 204.429
337.659 241.563
287.276 195.608
332.987 245.209
304.196 213.962
316.228 249.475
320.613 235.186
315.988  206.02
299.603 215.371
322.855 248.806
324.876 232.179
325.451 229.383
